,EPS,Earnings_Yield,Effect_of_forex_changes_on_cash,Weighted_Average_Shs_Out,Gross_Profit_Growth,Net_cash_flow_/_Change_in_cash,Net_Income_per_Share,Book_Value_per_Share_Growth,Weighted_Average_Shares_Growth,Revenue_Growth,Financing_Cash_Flow,Operating_Cash_Flow_growth,Operating_Cash_Flow_per_Share,Asset_Growth,Operating_Income_Growth,Retained_earnings_(deficit),SG&A_Expenses_Growth,EPS_Growth,Receivables_growth,Issuance_(buybacks)_of_shares
1148,1.75,0.1017,0.0,112559250.0,0.0787,31204000.0,1.7588,0.095,0.0314,0.1195,-173188000.0,0.1944,2.3082,0.0176,0.2722,-249654000.0,-0.0346,0.9022,-0.0296,134194000.0
2192,0.71,0.0728,-2555000.0,93741780.0,0.0762,24907000.0,0.8514,0.1449,0.1452,0.0677,438844000.0,0.1739,2.4395,0.2597,0.1185,201514000.0,0.0454,-0.0139,-0.0746,100405000.0
9923,0.39,0.0133,0.0,23357076.0,0.0125,-19123000.0,0.3909,0.0331,0.003,-0.0989,-3096000.0,-0.986,0.024,0.0332,2.1234,207450000.0,-0.095,2.0,0.4706,-2634000.0
15020,-0.28,-0.09,0.0,18277892.0,-0.2559,910000.0,-0.284,-0.0221,0.01,-0.0266,-2767000.0,-0.173,0.1992,-0.0453,0.2188,-26631000.0,0.2385,0.125,-0.453,4800000.0
6669,0.0,0.0,6700000.0,0.0,0.0,419284000.0,0.0,0.0,0.0,0.0,565000000.0,0.0,0.0,0.0,0.0,9313000000.0,0.0,0.0,0.0,0.0
2071,0.52,0.0131,0.0,43614910.0,0.0224,10370000.0,0.5175,0.0663,0.0633,0.0194,57599000.0,0.1389,2.5121,0.0597,0.0317,-60291000.0,0.0778,0.3684,-0.0779,104107000.0
8165,0.04,0.0019,-19000000.0,181834320.0,0.155,419284000.0,0.0385,-0.2098,0.0047,-0.0554,-396000000.0,2.2637,3.2667,-0.0378,0.2879,-114000000.0,0.4968,1.08,-0.0605,11000000.0
788,-3.39,-0.1247,0.0,98924424.0,0.0126,28000000.0,-2.4555,-0.5891,-0.0624,0.4496,-1363003000.0,-1.0843,-0.4389,-0.2409,0.5066,0.0,0.0071,-2.3448,-0.4095,-540000000.0
7594,2.0,0.0475,0.0,46809044.0,0.4888,208269000.0,2.0035,0.1942,0.0342,0.4195,17762000.0,0.8787,3.2469,0.2203,2.1234,183326000.0,0.2503,2.7971,0.2981,18867000.0
6303,-1.102,-0.1572,6700000.0,12945338.0,-0.4304,-319396000.0,0.0,-0.343,-0.0624,-0.2962,-438320200.0,-0.5175,0.0,-0.1651,-0.8895,3688000000.0,-0.1919,-2.0689,-0.3634,0.0
12822,0.72,0.0231,-2500000.0,46191450.0,0.0744,-100000.0,0.7235,0.0479,0.0,0.0797,130400000.0,1.9551,2.0216,0.1945,-0.3918,355100000.0,0.1355,-0.3846,0.1361,-4400000.0
3417,3.17,0.0457,6700000.0,47161910.0,0.1058,-9245000.0,3.1666,0.0782,-0.0114,0.0864,21562000.0,-0.2078,4.0785,0.168,-0.2215,848414000.0,0.1028,-0.0865,0.26,-77738000.0
5910,0.54,0.012,0.0,41152436.0,0.423,-1984000.0,0.541,0.5788,0.293,0.4284,500324000.0,0.4885,2.9223,0.5791,0.0201,-52732000.0,0.4969,0.0385,0.8122,157286000.0
15121,0.4,0.0197,0.0,159693010.0,0.0403,-85688000.0,0.4015,-0.1444,0.183,0.0475,-56877000.0,-0.0957,1.2262,0.0104,0.049,46762000.0,0.0252,0.0526,0.1852,0.0
4169,-0.04,-0.0049,-2124000.0,19203682.0,0.0722,7728000.0,-0.0447,-0.0057,0.0128,0.0666,-12192000.0,1.0746,1.1417,-0.0112,2.1234,-2072000.0,0.0679,0.942,-0.1279,664000.0
17224,4.93,0.0475,0.0,165975200.0,0.0665,57586000.0,4.8376,0.0867,-0.051,0.0651,-873201000.0,0.1689,6.6854,0.047,0.0841,8203035000.0,0.0329,0.1573,-0.0131,-570775000.0
14857,0.52,0.0954,-2837000.0,51878216.0,-0.065,-3342000.0,0.5245,0.4541,0.0087,-0.0625,-115818000.0,-1.6099,-0.211,-0.2409,0.6817,-53983000.0,-0.1142,1.8,-0.0704,2053000.0
14284,1.52,0.056,4904000.0,22932990.0,-0.0698,28091000.0,1.5198,0.0971,-0.0193,-0.0709,-27410000.0,-0.22,2.5207,0.0387,-0.2483,415919000.0,-0.0243,-0.2083,-0.0589,-4160000.0
13348,-0.31,-0.0111,0.0,33456092.0,0.4756,6492000.0,-0.3134,0.5556,0.0854,0.4699,17022000.0,0.1779,-0.2772,0.2699,0.022,-128329000.0,0.3581,0.3404,0.3742,17325000.0
7582,0.45,0.0265,0.0,150880460.0,0.1702,-48533000.0,0.4529,1.048,0.1145,0.2095,652233000.0,-0.2102,0.4635,1.0319,0.0581,247540000.0,0.3553,-0.1,0.8504,157286000.0
4048,1.11,0.0,0.0,96000000.0,0.0,-22000000.0,0.0,0.0,0.0,0.0,460000000.0,0.0,0.0,0.0,0.0,642000000.0,0.0,0.0,0.0,0.0
16121,3.39,0.0,0.0,15000000.0,0.0,151492000.0,0.0,0.0,0.0,0.0,487806000.0,0.0,0.0,0.1701,0.3481,140000000.0,0.0,0.314,0.0,0.0
16084,0.16,0.0186,0.0,56989764.0,0.3296,27388000.0,0.1563,-0.2994,0.503,0.3296,386271000.0,-1.186,-0.0173,0.2071,0.2404,-18983000.0,0.3111,0.2308,0.0,646000.0
17370,0.99,0.0269,0.0,39377330.0,-0.2405,-140537000.0,0.9894,-0.2492,0.5379,-0.1949,5477000.0,-0.3982,1.5903,0.1824,-0.6854,177422000.0,0.4022,-0.7374,-0.1991,5678000.0
5299,-0.19,-0.0143,0.0,10215285.0,0.2594,3162000.0,-0.1887,0.489,0.1284,0.1415,7912000.0,2.5403,0.2029,0.5012,-0.0753,16972000.0,0.0958,-0.0556,0.0491,8679000.0
15532,4.1,0.0818,0.0,35935170.0,0.4077,-1890000.0,4.123,0.632,0.072,0.4888,194077000.0,0.4033,4.8754,1.0319,0.4109,0.0,0.3512,2.7971,0.5726,157286000.0
2323,-0.6,-0.1558,-7500000.0,276059000.0,-0.1702,-96952000.0,-0.6018,-0.1131,0.0067,-0.1353,11140000.0,-0.5871,0.7592,-0.1,-1.194,239622000.0,0.2465,-2.3333,0.6745,11140000.0
4241,-0.12,-0.3529,0.0,104796424.0,0.0,11065000.0,-0.1187,-0.0141,0.4273,0.0,142000.0,0.0236,-0.105,0.3898,0.0511,-106902000.0,-0.1919,0.2941,-0.453,0.0
13424,-2.78,-0.1491,0.0,25301340.0,0.0,85320000.0,-2.7849,1.048,0.2781,0.0,158677000.0,0.0487,-2.5585,1.0319,0.1461,-460627000.0,-0.1205,0.3381,0.0,157286000.0
