"","Revenue","EPS_Diluted","Free_Cash_Flow","priceEarningsToGrowthRatio","ebitperRevenue","niperEBT","netProfitMargin","returnOnAssets","eBITperRevenue","Return_on_Tangible_Assets","Book_Value_per_Share_Growth","Class"
"14301",211955000,-1.94,-12241000,0,0.040178339741926,0,-0.2128093227336,-0.3856,0.040178339741926,-0.3856,-2.7006,"1"
"14302",1.61e+08,0.22,1.9e+07,0,0,0,0,0,0,0,0,"1"
"14303",613111000,-3.89,-3389000,0,-0.11686301501686,0,-0.1355137976647,-0.4883,-0.11686301501686,-0.4883,-0.4601,"0"
"14304",2135405000,-2.29,45272000,0,-0.016321025753897,0,-0.033581920057319,-0.2325,-0.016321025753897,-0.2325,-0.5421,"0"
"14305",303366000,0.62,6777000,3.780777014366,0.013613918501084,9.7030303030303,0.079161804552916,0.8362,0.013613918501084,0.8362,0.7458,"0"
"14306",171926000,0.02,4765000,399.23614457831,0.024260437630143,0,0.0033793608878238,0.0033,0.024260437630143,0.0033,-0.1098,"0"
"14307",21357027027.027,9.6216,1472837837.8378,63.483846450052,0.14448058111135,0.90216527612237,0.1149441287759,0.0773,0.14448058111135,0.0773,0.1116,"0"
"14308",4.08e+08,-0.64,3e+06,0,0,0,0,0,0,0,0,"1"
"14309",1022588000,3.15,69150000,16.272505548884,0.08590556509562,0.62139176784128,0.051302186217714,0.1783,0.08590556509562,0.1783,0.1203,"0"
"14310",161673000,0.7,2653000,29.033659095072,0.049420744341974,0.70484183344093,0.033765687529767,0.0501,0.049420744341974,0.0501,0.0436,"0"
"14311",279879000,1.35,-1075000,12.349977084338,0.14533066074982,0.90197500072504,0.1111230210198,0.1115,0.14533066074982,0.1115,0.2617,"0"
"14312",357866000,0.5,3325000,18.39295360662,-0.047548523749113,0.57308332730037,0.022120011400915,0.067,-0.047548523749113,0.067,0.0739,"0"
"14313",579476000,0.14,10710000,114.32286695636,0.026708612608633,0.19256213123547,0.0037171513574333,0.0103,0.026708612608633,0.0103,0.0358,"0"
"14314",233255000,0.5,7948000,19.135158167439,0.029165505562582,1.2249874728579,0.03144198409466,0.0794,0.029165505562582,0.0794,0.0896,"0"
"14315",1081454000,1.95,278176000,28.465847886542,0.2368533474378,0.78823056101305,0.18660248147402,0.1613,0.2368533474378,0.1613,0.0732,"0"
"14316",96256000,1.78,9284000,33.739356953908,0.27498545545213,0.63410708234497,0.077761386303191,0.1141,0.27498545545213,0.1141,0.024,"0"
"14317",653552000,2.29,-1244000,11.352665388004,0.12351121257375,0.94717360574751,0.099450388033393,0.0836,0.12351121257375,0.0836,0.1323,"1"
"14318",144095064.2951,-3.6635,-25439285.4393,0,-0.614110060765,0,-0.63450696300088,-0.0511,-0.614110060765,-0.0511,0,"0"
"14319",1116143000,1.64,40175000,26.325290933579,0.083427481962437,0.41829316649778,0.034024314088786,0.1269,0.083427481962437,0.1269,0.0284,"1"
"14320",565365024.1838,-0.4194,-29742140.266,0.88028697141867,0.029165703102885,1.3074679852916,0.035839490115527,0.0168,0.029165703102885,0.0168,1.5342,"0"
"14321",253197000,1.29,13129000,14.91124894638,0.036971212139164,1.0240358936011,0.037859848260445,0.078,0.036971212139164,0.078,0.0553,"1"
"14322",791800000,1.07,43200000,22.538952970297,0.025764081838848,1.9803921568627,0.051022985602425,0.2101,0.025764081838848,0.2101,-0.0068,"0"
"14323",2020831000,4.83,71279000,12.277550605044,0.070565524776688,0.70958509034499,0.04821333401952,0.132,0.070565524776688,0.132,0.072,"1"
"14324",6175521000,126.77,550932000,24.512594168414,0.14105627687121,0.63468416397945,0.087040591393018,0,0.14105627687121,0,0.2684,"0"
"14325",167464000,-2.95,25151000,0,-1.5427912864855,0,-1.1090025318875,-4.5657,-1.5427912864855,-4.5657,-0.3998,"0"
"14326",990602000,0.74,38437000,16.858805513697,0.048362510877224,0.70838969919079,0.029074239704745,0.5107,0.048362510877224,0.5107,0.3876,"0"
"14327",1360518000,0.01,17819000,400.25909226933,0.002621060507836,0,0.0002947406796529,0.0013,0.002621060507836,0.0013,-0.0997,"0"
"14328",10038460,-1.06,-38805896,0,-4.0879129866533,0,-4.1058875564579,-4.2179,-4.0879129866533,-4.2179,-0.3974,"0"
"14329",4.075e+09,2.784,7.48e+08,20.666088282951,0.17938650306748,0.82442748091603,0.13251533742331,67.5,0.17938650306748,67.5,-0.1292,"0"
"14330",3.86e+08,-0.98,0,0,0,0,0,0,0,0,0,"1"
"14331",106628100,0.35,-4057800,13.250905266175,0.052902565083688,0.62030311571735,0.026830638452716,0.0806,0.052902565083688,0.0806,0.142,"0"
"14332",468764000,3.02,14779000,16.896584890272,0.080181071925318,0.63284201564412,0.050741951173725,0.104,0.080181071925318,0.104,0.0742,"0"
"14333",42697000,1.07,13907000,15.277925239008,0.3626718504813,0.66948659993542,0.24280394407101,4.2505,0.3626718504813,4.2505,0.1009,"1"
"14334",547043000,-0.33,49707000,0,0.0041440983615548,0,-0.018077189544515,-0.0731,0.0041440983615548,-0.0731,-0.0093,"0"
"14335",104778000,4.41,25601000,8.5548693674391,0.32846589933001,0.97937112603306,0.28953597129168,0.1248,0.32846589933001,0.1248,-0.0056,"0"
"14336",93978000,0.31,2353000,88.01508632886,0.056928217242333,0.6102119460501,0.033699376449807,0.8137,0.056928217242333,0.8137,3.2928,"0"
"14337",46633000,-0.84,-1324000,0,-0.20944395599683,0,-0.21712092295156,-2.3902,-0.20944395599683,-2.3902,-0.3555,"1"
"14338",577219000,2.18,28788000,14.511403484004,0.06955765489355,0.64514236146546,0.043808329247651,0.1456,0.06955765489355,0.1456,0.1856,"0"
